BinaryAUROC,BinaryAccuracy,cycle,epoch,loss,step,val_BinaryAUROC,val_BinaryAccuracy,val_loss
,,,0,,9,0.0,0.5,50.016700744628906
0.0,0.5,0.0,0,50.019554138183594,9,,,
,,,1,,19,0.0,0.5,50.011566162109375
0.0,0.5,1.0,1,50.01438522338867,19,,,
,,,2,,29,0.0,0.5,50.00650405883789
0.0,0.5,2.0,2,50.00928497314453,29,,,
,,,3,,39,0.0,0.5,50.001502990722656
0.0,0.5,3.0,3,50.004249572753906,39,,,
,,,4,,49,0.5,0.5,50.0
0.30000001192092896,0.5,4.0,4,50.00030517578125,49,,,
,,,5,,59,0.5,0.5,50.0
0.5,0.5,5.0,5,50.0,59,,,
,,,6,,69,0.5,0.5,50.0
0.5,0.5,6.0,6,50.0,69,,,
,,,7,,79,0.5,0.5,50.0
0.5,0.5,7.0,7,50.0,79,,,
,,,8,,89,0.5,0.5,50.0
0.5,0.5,8.0,8,50.0,89,,,
,,,9,,99,0.5,0.5,50.0
0.5,0.5,9.0,9,50.0,99,,,
