ID,Y Pred,Mass,Pred Formula,Pred Mass,Pred Atom Num,Pred H/C Num,Running Time,Refined Formula (0),Refined Formula (1),Refined Formula (2),Refined Formula (3),Refined Formula (4),Refined Mass (0),Refined Mass (1),Refined Mass (2),Refined Mass (3),Refined Mass (4),FDR (0),FDR (1),FDR (2),FDR (3),FDR (4)
EMBL_MCF_2_0_HRMS_Library000529,3.632493;3.5253482;0.16231173;4.376684;0.01512713;0.029184408;-0.0055543766;0.0038983487;-6.212783e-05;-0.0036175416;-0.0003823845;-6.272593e-05;0.000157103,112.02798461914062,C4H4N4,115.40413665771484,10.847649574279785,0.9931888580322266,1.3868705999283564,C4H4N2O2,C2H2N5O,,,,112.02727737692,112.02593470618,,,,0.97433054,0.00578260887414217,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000493,4.566321;5.3444405;1.4061973;-0.01624265;2.2383482;0.009839013;-0.004446192;-0.015676484;-3.517582e-05;-0.00078041776;-0.0011073294;0.000105141895;1.6994483e-05,130.0999298095703,C5H5OF2,135.33665466308594,15.534952163696289,1.5392855405807495,1.2949886094956171,C7H14O2,C5H12N3O,,,,130.09937969036,130.09803701962,,,,0.9877786,0.02795563079416752,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000492,5.715214;8.984012;2.0659728;0.5278823;-0.0047059134;0.8538052;-0.0105605945;0.045057595;-4.2724656e-05;-0.0027208903;-0.00071832706;0.00024501048;2.6761496e-05,149.03382873535156,C6H9O2NS,148.03492736816406,18.220407485961914,1.320198893547058,1.3495943319229853,C5H11NS2,C4H7NO5,,,,149.03329170776,149.03242232789,,,,0.9708548,0.029484489932656288,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000474,3.7631674;6.522305;2.37215;0.75359255;-0.012762397;0.009193853;0.0017972663;-0.012266251;-2.3671497e-05;-0.0036437504;-0.0013076955;0.00014172052;-3.166974e-06,90.0322265625,C4H7O2N,93.02306365966797,9.767154693603516,1.89726722240448,1.10038921946571,C3H6O3,,,,,90.03169405209,,,,,0.9953206,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000473,6.9286356;7.951501;2.4559956;1.9119232;0.06455272;0.038117263;-0.00012341738;-0.003139449;-3.687423e-05;-0.0035820433;-0.000526193;-0.00010181065;2.7927512e-05,158.04425048828125,C7H8O2N2,157.2497100830078,19.08905601501465,1.4677311182022095,1.1748332750229609,C6H8NO4,C4H6N4O3,,,,158.04533274055,158.04399006980998,,,,0.22528175,0.10791193693876266,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000472,2.8159003;4.7508163;2.0379143;4.37847;-0.03410328;0.8004874;-0.01572786;-0.020716911;-0.000579336;-0.004262594;-0.0006597931;-0.0004287697;2.3571833e-05,158.04452514648438,C3H5O2N4S,156.1957244873047,15.948137283325195,1.5582923889160156,1.5171246301560175,C4H6N4O3,C2H4N7O2,,,,158.04399006980998,158.04264739907,,,,0.12706271,0.01002314779907465,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000465,7.6624765;9.55195;4.5555096;-0.0030811771;0.048203878;-0.010707791;0.0014352128;-0.011608293;-5.5258537e-05;-0.0008466758;0.000549714;-0.0002591522;4.3789798e-05,174.05332946777344,C8H10O5,173.74143981933594,22.400209426879883,1.6010524034500122,1.4541730653671991,C7H10O5,C8H14S2,C8H6N4O,,,174.05282342015,174.05369280002,174.05416083067,,,0.9974578,0.9809457659721375,0.00034214206971228123,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000455,4.5430665;8.55033;4.1497726;1.4820327;-0.00908425;-0.0012628034;-0.0012166695;-0.022235034;-2.8662105e-05;-0.0023239024;-0.0003926823;0.00077267014;-2.5953994e-05,147.05372619628906,C5H9O4N,147.42466735839844,16.95868492126465,1.8923940658569336,1.1593725454239618,C5H9NO4,,,,,147.05315777278003,,,,,0.4710929,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000420,8.7838;8.490589;1.266774;2.8303149;-0.001028271;0.012995131;-0.0037942305;-0.0007356115;-1.4188141e-05;-0.00366785;-0.0004921155;-0.00021198593;-5.0373724e-06,175.09596252441406,C9H8ON3,172.7007598876953,20.838220596313477,1.0432506799697876,1.3702981244950068,C6H13N3O3,C2H9N9O,,,,175.09569129099,175.09300594951,,,,0.49838483,0.0048826453275978565,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000412,5.002904;10.089952;5.3295317;-0.008934246;-0.007881294;-0.01951967;0.01927691;-0.018908475;-3.6402e-05;-0.00036271513;-9.9013945e-05;-8.568368e-05;-2.0338071e-05,150.05332946777344,C5H10O5,150.72486877441406,19.906442642211914,2.2316887378692627,1.5678503286270868,C8H8NO2,C5H10O5,C3H8N3O4,,,150.05550350141,150.05282342015,150.05148074941002,,,0.85236686,0.34552985429763794,0.014580201357603073,0.0,0.0
